build,benchmark,run,wall_s,peak_rss_time_l,peak_rss_vm,gc_minor,gc_major,gc_promoted_bytes,pause_p50_us,pause_p95_us,pause_max_us,exit
master,bench_array_intensive,5,0.084494,5455872,5406720,0,0,0,0,0,0,0
v2026.9.4,bench_array_intensive,5,0.081865,5111808,,,,,,,,0
master,bench_array_intensive,6,0.084353,5439488,5390336,0,0,0,0,0,0,0
v2026.9.4,bench_array_intensive,6,0.081807,5193728,,,,,,,,0
master,bench_array_intensive,7,0.084518,5537792,5488640,0,0,0,0,0,0,0
v2026.9.4,bench_array_intensive,7,0.082055,5177344,,,,,,,,0
master,bench_array_intensive,8,0.084318,5521408,5472256,0,0,0,0,0,0,0
v2026.9.4,bench_array_intensive,8,0.081822,5177344,,,,,,,,0
master,bench_array_intensive,9,0.084939,5472256,5423104,0,0,0,0,0,0,0
v2026.9.4,bench_array_intensive,9,0.082095,5160960,,,,,,,,0
master,bench_array_intensive,10,0.084550,5488640,5439488,0,0,0,0,0,0,0
v2026.9.4,bench_array_intensive,10,0.082118,5144576,,,,,,,,0
master,bench_array_intensive,11,0.084556,5472256,5423104,0,0,0,0,0,0,0
v2026.9.4,bench_array_intensive,11,0.081888,5177344,,,,,,,,0
master,bench_array_intensive,12,0.084407,5505024,5455872,0,0,0,0,0,0,0
v2026.9.4,bench_array_intensive,12,0.081949,5144576,,,,,,,,0
master,bench_array_intensive,13,0.084605,5439488,5390336,0,0,0,0,0,0,0
v2026.9.4,bench_array_intensive,13,0.081948,5177344,,,,,,,,0
master,bench_array_intensive,14,0.084413,5455872,5406720,0,0,0,0,0,0,0
v2026.9.4,bench_array_intensive,14,0.081978,5160960,,,,,,,,0
master,bench_array_intensive,15,0.084729,5521408,5472256,0,0,0,0,0,0,0
v2026.9.4,bench_array_intensive,15,0.081936,5177344,,,,,,,,0
master,bench_matrix_multiply,1,0.266506,11550720,11501568,0,0,0,0,0,0,0
v2026.9.4,bench_matrix_multiply,1,0.194528,11239424,,,,,,,,0
master,bench_matrix_multiply,2,0.197154,11501568,11452416,0,0,0,0,0,0,0
